Index,Name,Expansion,Min price,Exemplaires en vente,Rareté,mkm_url,expansion_release_date,Tournament_last_month,Price trend,Price 7 days,Price 30 days,Code,Expansion_code,Number_code
306,Joltik,Stellar-Crown,2.0,603,Illustration Rare,https://www.cardmarket.com/en/Pokemon/Products/Singles/Stellar-Crown/Joltik-V2-SCR150,"13TH SEPTEMBER, 2024",0.0,"3,37 €","3,36 €","3,32 €",SCR 150,SCR,150
308,Briar,Stellar-Crown,1.75,597,Ultra Rare,https://www.cardmarket.com/en/Pokemon/Products/Singles/Stellar-Crown/Briar-V2-SCR163,"13TH SEPTEMBER, 2024",199.0,"3,67 €","3,30 €","3,48 €",SCR 163,SCR,163
309,Gulpin,Stellar-Crown,0.75,529,Illustration Rare,https://www.cardmarket.com/en/Pokemon/Products/Singles/Stellar-Crown/Gulpin-V2-SCR154,"13TH SEPTEMBER, 2024",0.0,"2,72 €","2,76 €","2,73 €",SCR 154,SCR,154
310,Ledian,Stellar-Crown,1.7,601,Illustration Rare,https://www.cardmarket.com/en/Pokemon/Products/Singles/Stellar-Crown/Ledian-V2-SCR144,"13TH SEPTEMBER, 2024",0.0,"3,08 €","3,00 €","2,94 €",SCR 144,SCR,144
311,Lacey,Stellar-Crown,1.4,659,Ultra Rare,https://www.cardmarket.com/en/Pokemon/Products/Singles/Stellar-Crown/Lacey-V2-SCR166,"13TH SEPTEMBER, 2024",1.0,"2,48 €","2,32 €","2,42 €",SCR 166,SCR,166
312,Cinderace ex,Stellar-Crown,1.8,503,Ultra Rare,https://www.cardmarket.com/en/Pokemon/Products/Singles/Stellar-Crown/Cinderace-ex-V2-SCR157,"13TH SEPTEMBER, 2024",0.0,"3,82 €","3,78 €","3,54 €",SCR 157,SCR,157
314,Lapras ex,Stellar-Crown,3.0,517,Ultra Rare,https://www.cardmarket.com/en/Pokemon/Products/Singles/Stellar-Crown/Lapras-ex-V2-SCR158,"13TH SEPTEMBER, 2024",0.0,"4,89 €","4,80 €","4,64 €",SCR 158,SCR,158
315,Lileep,Stellar-Crown,0.99,559,Illustration Rare,https://www.cardmarket.com/en/Pokemon/Products/Singles/Stellar-Crown/Lileep-V2-SCR145,"13TH SEPTEMBER, 2024",0.0,"2,42 €","2,30 €","2,40 €",SCR 145,SCR,145
316,Zeraora,Stellar-Crown,4.0,522,Illustration Rare,https://www.cardmarket.com/en/Pokemon/Products/Singles/Stellar-Crown/Zeraora-V2-SCR151,"13TH SEPTEMBER, 2024",0.0,"6,29 €","6,31 €","6,84 €",SCR 151,SCR,151
362,Bravery Charm,Stellar-Crown,7.99,175,Secret Rare ,https://www.cardmarket.com/en/Pokemon/Products/Singles/Stellar-Crown/Bravery-Charm-SCR175,"13TH SEPTEMBER, 2024",,"13,38 €","13,08 €","12,95 €",SCR 175,SCR,175
364,Briar,Stellar-Crown,15.0,230,Special Illustration Rare,https://www.cardmarket.com/en/Pokemon/Products/Singles/Stellar-Crown/Briar-V3-SCR171,"13TH SEPTEMBER, 2024",,"20,43 €","18,48 €","20,19 €",SCR 171,SCR,171
380,Terapagos ex,Stellar-Crown,60.0,250,Special Illustration Rare,https://www.cardmarket.com/en/Pokemon/Products/Singles/Stellar-Crown/Terapagos-ex-V3-SCR170,"13TH SEPTEMBER, 2024",,"69,61 €","73,05 €","76,64 €",SCR 170,SCR,170
385,Lacey,Stellar-Crown,15.0,239,Special Illustration Rare,https://www.cardmarket.com/en/Pokemon/Products/Singles/Stellar-Crown/Lacey-V3-SCR172,"13TH SEPTEMBER, 2024",,"27,26 €","25,55 €","25,62 €",SCR 172,SCR,172
