Name,Expansion,Min price,Exemplaires en vente,Rareté,mkm_url,expansion_release_date,Tournament_last_month,Price trend,Price 7 days,Price 30 days
Inkay (LOR 077),Lost-Origin,"0,02 €",10262,Common,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Inkay-LOR077,"9TH SEPTEMBER, 2022",,,,
Seviper (LOR 116),Lost-Origin,"0,02 €",5755,Uncommon,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Seviper-LOR116,"9TH SEPTEMBER, 2022",,,,
Bronzong (LOR 126),Lost-Origin,"0,02 €",8051,Uncommon,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Bronzong-LOR126,"9TH SEPTEMBER, 2022",,,,
Skwovet (LOR 150),Lost-Origin,"0,02 €",9759,Common,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Skwovet-LOR150,"9TH SEPTEMBER, 2022",,,,
Makuhita (LOR 097),Lost-Origin,"0,02 €",10154,Common,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Makuhita-LOR097,"9TH SEPTEMBER, 2022",,,,
Inkay (LOR 121),Lost-Origin,"0,02 €",9948,Common,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Inkay-LOR121,"9TH SEPTEMBER, 2022",,,,
Iscan (LOR 158),Lost-Origin,"0,02 €",10857,Uncommon,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Iscan-V1-LOR158,"9TH SEPTEMBER, 2022",,,,
Seedot (LOR 011),Lost-Origin,"0,02 €",9038,Common,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Seedot-LOR011,"9TH SEPTEMBER, 2022",,,,
Mimikyu (LOR 080),Lost-Origin,"0,02 €",3938,Rare,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Mimikyu-LOR080,"9TH SEPTEMBER, 2022",,,,
Hisuian Sliggoo (LOR 133),Lost-Origin,"0,02 €",7710,Uncommon,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Hisuian-Sliggoo-LOR133,"9TH SEPTEMBER, 2022",,,,
Carbink (LOR 108),Lost-Origin,"0,02 €",7689,Uncommon,https://www.cardmarket.com/en/Pokemon/Products/Singles/Lost-Origin/Carbink-LOR108,"9TH SEPTEMBER, 2022",,,,
